City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
237,Sinnamary,GF,79.77,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
238,Champerico,GT,84.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
239,Roebourne,AU,83.61,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
240,Ha Tinh,VN,81.32,few clouds,18.3333,105.9,Phú Quý
241,Sao Gabriel Da Cachoeira,BR,75.9,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
245,Bandarbeyla,SO,79.47,overcast clouds,9.4942,50.8122,JABIR HOTEL
247,Presidente Prudente,BR,80.15,clear sky,-22.1256,-51.3889,Hotel Nações
248,Saint George,US,77.47,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
255,Nyaunglebin,MM,79.39,scattered clouds,17.95,96.7333,Royal Motel
262,Malindi,KE,76.17,light rain,-3.2175,40.1191,African House Resort
266,Ibra,OM,82.8,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
270,Praya,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
273,Libreville,GA,78.82,light rain,0.3925,9.4537,Hotel Re-Ndama
278,Kingman,US,76.48,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
280,Pringsewu,ID,77.59,light rain,-5.3582,104.9744,Urban Style by Front One
283,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
286,Pundaguitan,PH,83.89,clear sky,6.3711,126.1689,Leonardo Family Beach House 1
287,Poum,NC,75.51,broken clouds,-20.2333,164.0167,Gîte kajeon
291,Pitimbu,BR,75.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
292,Bikaner,IN,86.22,overcast clouds,28.0167,73.3,Karina Guest House
293,Sao Filipe,CV,79.63,overcast clouds,14.8961,-24.4956,Hotel Xaguate
300,Grand-Santi,GF,75.43,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
308,Corcoran,US,86.09,clear sky,36.098,-119.5604,Budget Inn Motel Corcoran
316,Pathein,MM,81.73,overcast clouds,16.7833,94.7333,New Pammawaddy Hotel
317,Axim,GH,76.26,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
321,Manawar,IN,76.33,few clouds,22.2333,75.0833,Despojal
