City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Ihosy,MG,-22.4,46.1167,61.88,85,43,8.25,scattered clouds
80,Ko Samui,TH,9.5357,99.9357,87.71,70,20,3.44,few clouds
81,Longyearbyen,SJ,78.2186,15.6401,35.44,80,40,3.44,scattered clouds
82,Chuy,UY,-33.6971,-53.4616,59.43,93,100,14.27,overcast clouds
83,Urdoma,RU,61.7533,48.5442,44.98,96,100,3.36,overcast clouds
84,Shahrud,IR,36.4182,54.9763,57.94,72,0,7.94,clear sky
85,Rawson,AR,-43.3002,-65.1023,51.1,59,2,14.41,clear sky
86,Elbrus,RU,43.2577,42.6443,43.45,96,99,4.07,overcast clouds
87,Vardo,NO,70.3705,31.1107,47.05,71,85,15.93,overcast clouds
88,Ancud,CL,-41.8697,-73.8203,42.33,64,100,5.3,overcast clouds
89,Tasiilaq,GL,65.6145,-37.6368,35.76,87,8,5.01,clear sky
90,Narsaq,GL,60.9167,-46.05,34.02,48,0,5.3,clear sky
91,Mokrousovo,RU,55.8103,66.7653,35.6,88,100,11.77,light rain
92,Kaitangata,NZ,-46.2817,169.8464,56.93,52,68,12.28,broken clouds
93,Daugai,LT,54.3667,24.3333,49.23,95,100,4.16,light rain
94,Magadan,RU,59.5667,150.8,35.56,89,100,29.97,light rain
95,Hithadhoo,MV,-0.6,73.0833,81.39,74,100,3.49,overcast clouds
96,Kapaa,US,22.0752,-159.319,84.18,67,20,4.0,few clouds
97,Kamenka,RU,51.3223,42.7678,40.62,79,21,4.94,few clouds
98,Feicheng,CN,35.2606,117.9675,74.37,66,0,3.94,clear sky
99,Luderitz,NA,-26.6481,15.1594,55.51,95,79,8.72,broken clouds
100,Kudahuvadhoo,MV,2.6708,72.8944,82.29,70,100,7.76,overcast clouds
101,Taikang,CN,46.8333,124.4167,47.84,52,0,9.73,clear sky
102,Termini Imerese,IT,37.9837,13.6956,70.99,71,30,1.14,scattered clouds
103,Hilo,US,19.7297,-155.09,81.28,92,90,3.44,moderate rain
104,Yanam,IN,16.7333,82.2167,79.2,90,10,2.62,clear sky
105,Arlit,NE,18.7369,7.3853,86.07,11,8,12.17,clear sky
106,Padang,ID,-0.9492,100.3543,73.45,78,100,2.24,light rain
107,Faanui,PF,-16.4833,-151.75,79.18,73,0,17.6,clear sky
108,Qaanaaq,GL,77.484,-69.3632,27.52,95,100,14.38,light snow
109,Chake Chake,TZ,-5.2459,39.7666,73.99,82,14,8.03,few clouds
110,Puerto Escondido,MX,15.85,-97.0667,83.23,61,40,0.0,scattered clouds
111,Nioro,GM,13.35,-15.75,76.39,92,9,5.7,clear sky
112,Coahuayana,MX,18.7333,-103.6833,83.68,91,97,2.86,overcast clouds
113,Dikson,RU,73.5069,80.5464,32.34,85,100,23.09,overcast clouds
114,Taltal,CL,-25.4,-70.4833,62.87,63,0,5.46,clear sky
115,Touros,BR,-5.1989,-35.4608,77.9,82,21,14.88,few clouds
116,Cap-Aux-Meules,CA,47.3821,-61.8597,55.45,94,75,11.5,broken clouds
117,Hamilton,US,39.1834,-84.5333,68.09,78,1,0.0,clear sky
118,Ostrovnoy,RU,68.0531,39.5131,42.4,86,100,4.79,overcast clouds
119,Bambanglipuro,ID,-7.95,110.2833,78.94,77,100,6.87,overcast clouds
120,Mar Del Plata,AR,-38.0023,-57.5575,56.88,63,0,4.0,fog
121,Kavieng,PG,-2.5744,150.7967,84.56,73,91,14.7,light rain
122,Shangzhi,CN,45.2167,127.9667,50.99,61,8,9.95,clear sky
123,Atar,MR,20.5169,-13.0499,90.39,15,15,3.85,few clouds
124,The Valley,AI,18.217,-63.0578,84.06,66,0,5.23,clear sky
125,Kurumkan,RU,54.3,110.3,34.61,66,8,2.1,clear sky
126,Taoudenni,ML,22.6783,-3.9836,89.8,9,28,7.85,scattered clouds
127,Doka,SD,13.5167,35.7667,73.54,81,52,4.47,broken clouds
128,Golovino,RU,55.9613,40.4251,37.74,94,25,4.29,scattered clouds
129,Sorong,ID,-0.8833,131.25,83.64,71,8,2.24,heavy intensity rain
130,Sovetskiy,RU,61.3614,63.5842,30.74,94,14,7.67,few clouds
131,Port Elizabeth,ZA,-33.918,25.5701,62.89,100,90,4.61,mist
132,Pacific Grove,US,36.6177,-121.9166,85.98,54,1,3.0,clear sky
133,Kimbe,PG,-5.5502,150.1429,84.11,78,72,3.09,moderate rain
134,Slave Lake,CA,55.2834,-114.769,55.38,76,90,4.61,overcast clouds
135,Malyye Derbety,RU,47.9547,44.6808,42.91,59,3,5.79,clear sky
136,Morganton,US,35.7454,-81.6848,71.94,90,1,1.01,clear sky
137,Imeni Poliny Osipenko,RU,52.4201,136.4853,52.27,39,32,12.64,scattered clouds
138,Hay River,CA,60.8156,-115.7999,48.18,87,75,1.14,broken clouds
139,Batagay,RU,67.6333,134.6333,30.52,37,17,1.34,few clouds
140,Pilar,BR,-9.5972,-35.9567,75.13,95,40,4.76,scattered clouds
141,Samarai,PG,-10.6167,150.6667,81.79,79,46,7.87,scattered clouds
142,Kinablangan,PH,7.6947,126.5503,84.16,70,78,3.0,broken clouds
143,Eureka,US,40.8021,-124.1637,72.68,85,97,8.01,overcast clouds
144,Paamiut,GL,61.994,-49.6678,36.77,61,4,11.72,clear sky
145,Evanston,US,42.0411,-87.6901,72.34,70,40,1.01,scattered clouds
146,Makubetsu,JP,45.3714,141.8211,65.91,77,40,6.91,scattered clouds
147,Cidreira,BR,-30.1811,-50.2056,63.61,92,100,27.18,heavy intensity rain
148,Gat,IL,31.61,34.7642,72.28,83,0,2.46,clear sky
149,That Phanom,TH,16.9364,104.7104,86.2,84,2,5.19,clear sky
150,Katsuura,JP,35.1333,140.3,69.82,96,100,36.64,overcast clouds
151,Atuona,PF,-9.8,-139.0333,78.04,71,0,16.75,clear sky
152,Anadyr,RU,64.75,177.4833,30.7,68,0,8.01,clear sky
153,Srandakan,ID,-7.9386,110.2506,78.91,78,100,6.46,overcast clouds
154,Souillac,MU,-20.5167,57.5167,72.36,78,75,12.66,broken clouds
155,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,75,12.66,light rain
156,Torbay,CA,47.6666,-52.7314,60.76,99,90,0.0,fog
157,Waingapu,ID,-9.6567,120.2641,86.41,57,3,9.37,clear sky
158,Hualmay,PE,-11.0964,-77.6139,64.56,83,43,9.33,scattered clouds
159,Mount Isa,AU,-20.7333,139.5,85.77,16,5,13.8,clear sky
160,Sitka,US,57.0531,-135.33,51.69,66,90,19.57,light rain
161,Koppies,ZA,-27.2418,27.5742,60.17,76,100,19.42,light rain
162,Steinfurt,DE,52.1505,7.3366,53.91,83,100,15.19,overcast clouds
163,Fukue,JP,32.6881,128.8419,77.36,83,75,17.27,broken clouds
164,Codrington,AU,-38.2667,141.9667,57.9,95,86,19.17,overcast clouds
165,Angoram,PG,-4.0625,144.0661,80.85,89,100,0.92,light rain
166,Uarini,BR,-2.99,-65.1083,77.07,79,100,1.7,overcast clouds
167,Tazovskiy,RU,67.4667,78.7,32.0,93,100,18.39,overcast clouds
168,Kodiak,US,57.79,-152.4072,47.71,46,90,8.05,light rain
169,Port Lincoln,AU,-34.7333,135.8667,58.53,65,21,10.36,few clouds
170,Aracoiaba,BR,-4.3711,-38.8142,83.05,82,75,7.27,broken clouds
